,Bender_count,Journal,Kopparapu_count,Morehead_count,Nelson_count,Publication_Date,Robertson_count,Schwab_count,Sharon_count,URL_link
639,0,The Astrophysical Journal Supplement Series,0,0,0,2013-02-00,0,0,0,2013ApJS..204...24B
640,0,The Astrophysical Journal,0,0,0,2012-01-00,0,0,0,2012ApJ...745...28G
641,0,The Astronomical Journal,0,0,0,2012-11-00,0,0,0,2012AJ....144..139H
642,0,The Astrophysical Journal,0,0,0,2012-09-00,0,0,0,2012ApJ...756...91H
643,0,Monthly Notices of the Royal Astronomical Society,0,0,0,2012-10-00,0,0,0,2012MNRAS.426..739H
644,0,Astronomy and Astrophysics,0,0,0,2012-09-00,0,0,0,2012A%26A...545A..55B
645,0,The Astrophysical Journal,0,0,0,2012-04-00,1,0,0,2012ApJ...749...39R
646,0,The Astrophysical Journal Supplement Series,0,0,0,2013-10-00,0,0,0,2012arXiv1208.3312X
647,0,The Astrophysical Journal,0,0,0,2012-09-00,0,0,0,2012ApJ...756L..33Q
648,0,Astronomy and Astrophysics,0,0,0,2012-11-00,0,0,0,2012A%26A...547A..61S
649,0,Astronomy and Astrophysics,0,0,0,2012-01-00,0,0,0,2012A%26A...537A..54R
650,0,Publications of the Astronomical Society of Japan,0,0,0,2012-12-00,0,0,0,2012PASJ...64..135S
651,0,The Astrophysical Journal,0,0,0,2012-01-00,0,0,0,2012ApJ...744....4G
652,0,Monthly Notices of the Royal Astronomical Society,0,0,0,2012-05-00,0,0,0,2012MNRAS.422.1988A
653,0,Monthly Notices of the Royal Astronomical Society,0,0,0,2012-10-00,0,0,0,2012MNRAS.426..739H
654,0,The Astrophysical Journal Supplement Series,0,0,0,2013-10-00,0,0,0,2012arXiv1208.3312X
655,0,Monthly Notices of the Royal Astronomical Society,0,0,0,2012-05-00,0,0,0,2012MNRAS.422.1988A
656,0,The Astrophysical Journal,0,0,0,2012-07-00,0,0,0,2012ApJ...754...73B
657,0,The Astronomical Journal,0,0,0,2012-07-00,0,0,0,2012AJ....144...19B
658,0,The Astrophysical Journal,0,0,0,2012-01-00,0,1,0,2012ApJ...745...21F
659,0,Nature,0,0,0,2012-11-00,0,0,0,2012Natur.491..207D
660,0,Astronomy and Astrophysics,0,0,0,2012-01-00,0,0,0,2012A%26A...537A.136G
661,0,Monthly Notices of the Royal Astronomical Society,0,0,0,2012-10-00,0,0,0,2012MNRAS.426..739H
662,0,The Astronomical Journal,0,0,0,2012-07-00,0,0,0,2012AJ....144...19B
663,0,The Astrophysical Journal,0,0,0,2012-07-00,1,0,0,2012ApJ...754...50R
664,0,The Astrophysical Journal,0,0,0,2012-10-00,0,0,0,2012ApJ...758...87O
665,0,Astronomy and Astrophysics,0,0,0,2012-02-00,0,0,0,2012A%26A...538A.113D
666,0,The Astrophysical Journal Supplement Series,0,0,0,2013-10-00,0,0,0,2012arXiv1208.3312X
667,0,The Astronomical Journal,0,0,0,2012-11-00,0,0,0,2012AJ....144..139H
668,0,Astronomy and Astrophysics,0,0,0,2012-05-00,0,0,0,2012A%26A...541A.149O
669,0,The Astrophysical Journal Supplement Series,0,0,0,2013-10-00,0,0,0,2012arXiv1208.3312X
670,0,Astronomy and Astrophysics,0,0,0,2012-08-00,0,0,0,2012A%26A...544A..72L
671,0,The Astrophysical Journal,0,0,0,2012-01-00,0,1,0,2012ApJ...745...21F
672,0,The Astrophysical Journal,0,0,0,2012-01-00,0,0,0,2012ApJ...744....4G
673,0,Astronomy and Astrophysics,0,0,0,2012-08-00,0,0,0,2012A%26A...544A..72L
674,0,Astronomy and Astrophysics,0,0,0,2012-11-00,0,0,0,2012A%26A...547A..61S
675,0,The Astrophysical Journal,0,0,0,2012-12-00,0,0,1,2012ApJ...761...46W
676,0,The Astrophysical Journal Supplement Series,0,0,0,2013-10-00,0,0,0,2012arXiv1208.3312X
677,0,Publications of the Astronomical Society of Japan,0,0,0,2012-12-00,0,0,0,2012PASJ...64..135S
678,0,The Astrophysical Journal,0,0,0,2012-09-00,0,0,0,2012ApJ...756L..33Q
679,0,Publications of the Astronomical Society of Japan,0,0,0,2012-04-00,0,0,0,2012PASJ...64...34O
680,0,Astronomy and Astrophysics,0,0,0,2012-10-00,0,0,0,2012A%26A...546A..27B
681,0,The Astronomical Journal,0,0,0,2012-07-00,0,0,0,2012AJ....144...19B
682,0,The Astrophysical Journal,0,0,0,2012-01-00,0,0,0,2012ApJ...745...28G
683,0,The Astrophysical Journal,0,0,0,2012-04-00,0,0,0,2012ApJ...749..134H
684,0,Science,0,0,0,2012-06-00,0,0,0,2012Sci...336.1133N
685,0,Astronomy and Astrophysics,0,0,0,2012-10-00,0,0,0,2012A%26A...546A...5L
686,0,Publications of the Astronomical Society of Japan,0,0,0,2012-12-00,0,0,0,2012PASJ...64..135S
687,0,The Astrophysical Journal,0,0,0,2012-09-00,0,0,0,2012ApJ...756L..39B
688,0,Monthly Notices of the Royal Astronomical Society,0,0,0,2012-05-00,0,0,0,2012MNRAS.422.1988A
689,0,The Astrophysical Journal,0,0,0,2012-04-00,1,0,0,2012ApJ...749...39R
690,0,Science,0,0,0,2012-06-00,0,0,0,2012Sci...336.1133N
691,0,Monthly Notices of the Royal Astronomical Society,0,0,0,2012-10-00,0,0,0,2012MNRAS.426..739H
692,0,The Astrophysical Journal Supplement Series,0,0,0,2013-10-00,0,0,0,2012arXiv1208.3312X
693,0,The Astrophysical Journal,0,0,0,2012-05-00,0,0,0,2012ApJ...750..114F
694,0,The Astrophysical Journal,0,0,0,2012-01-00,0,0,0,2012ApJ...744....4G
695,0,The Astrophysical Journal Supplement Series,0,0,0,2013-02-00,0,0,0,1202.5852
696,0,Nature,0,0,0,2012-01-00,1,0,0,2012Natur.481..475W
697,0,The Astrophysical Journal Supplement Series,0,0,0,2013-10-00,0,0,0,2012arXiv1208.3312X
698,0,The Astrophysical Journal,0,0,0,2013-09-00,0,0,0,2013arXiv1307.8128S
699,0,Astronomy and Astrophysics,0,0,0,2014-01-00,0,0,0,2013arXiv1310.1994B
700,0,The Astrophysical Journal Supplement Series,0,0,0,2013-02-00,0,0,0,2013ApJS..204...24B
701,0,Astronomy and Astrophysics,0,0,0,2013-04-00,0,0,0,2013A%26A...552A..82G
702,0,Publications of the Astronomical Society of the Pacific,0,0,0,2013-01-00,0,0,0,2013PASP..125...48M
703,0,The Astrophysical Journal Supplement Series,0,0,0,2013-02-00,0,0,0,2013ApJS..204...24B
704,0,Astronomy and Astrophysics,0,0,0,2013-07-00,0,0,0,2013A%26A...555A.118A
705,0,Astronomy and Astrophysics,0,0,0,2014-03-00,0,0,0,2013arXiv1311.5271M
706,0,Astronomy and Astrophysics,0,0,0,2013-04-00,0,0,0,2013A%26A...552A..70K
707,0,Publications of the Astronomical Society of Japan,0,0,0,2013-08-00,0,0,0,2013arXiv1304.4328S
708,0,The Astrophysical Journal,0,0,0,2013-08-00,0,0,0,2013arXiv1305.7428R
709,0,Science,0,0,0,2013-05-00,0,0,0,2013Sci...340..587B
710,0,The Astrophysical Journal,0,0,0,2014-01-00,0,0,0,2013arXiv1310.6248C
711,0,The Astrophysical Journal Supplement Series,0,0,0,2013-02-00,0,0,0,2013ApJS..204...24B
712,0,The Astrophysical Journal,0,0,0,2013-05-00,0,0,0,2013ApJ...768..127S
713,0,The Astrophysical Journal,0,0,0,2014-01-00,0,0,0,2013arXiv1310.6248C
714,0,Astronomy and Astrophysics,0,0,0,2013-09-00,0,0,0,2013A%26A...557A..74G
