NAME,FIRSTREF,FIRSTURL,,
HR 8799 c,Marois 2008,http://adsabs.harvard.edu/abs/2008Sci...322.1348M,,
HD 45652 b,Santos 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..369S,,
MOA-2007-BLG-192L b,Bennett 2008,http://adsabs.harvard.edu/abs/2008AAS...212.1012B,,
HD 81688 b,Sato 2008,http://adsabs.harvard.edu/abs/2008PASJ...60..539S,,
CoRoT-1 b,Barge 2008,http://adsabs.harvard.edu/abs/2008A%26A...482L..17B,,
Fomalhaut b,Kalas 2008,http://adsabs.harvard.edu/abs/2008Sci...322.1345K,,
CoRoT-4 b,Moutou 2008 ,http://adsabs.harvard.edu/abs/2008A%26A...488L..47M ,, http://adsabs.harvard.edu/abs/2008A%26A...488L..43A
CoRoT-3 b,Deleuil 2008,http://adsabs.harvard.edu/abs/2008A%26A...491..889D,,
HD 102272 b,Niedzielski 2008,http://adsabs.harvard.edu/abs/2009ApJ...693..276N,,
14 And b,Sato 2008,http://adsabs.harvard.edu/abs/2008PASJ...60.1317S,,
WASP-4 b,Wilson 2008,http://adsabs.harvard.edu/abs/2008ApJ...675L.113W,,
81 Cet b,Sato 2008,http://adsabs.harvard.edu/abs/2008PASJ...60.1317S,,
18 Del b,Sato 2008,http://adsabs.harvard.edu/abs/2008PASJ...60..539S,,
HD 196885 b,Correia 2008,http://adsabs.harvard.edu/abs/2008A%26A...479..271C,,
11 Com b,Liu 2008,http://adsabs.harvard.edu/abs/2008ApJ...672..553L,,
6 Lyn b,Sato 2008 ,http://adsabs.harvard.edu/abs/2008PASJ...60.1317S ,, http://adsabs.harvard.edu/abs/2008ApJ...675..784J
HD 60532 c,Desort 2008,http://adsabs.harvard.edu/abs/2008A%26A...491..883D,,
xi Aql b,Sato 2008,http://adsabs.harvard.edu/abs/2008PASJ...60..539S,,
HD 4113 b,Tamuz 2008,http://adsabs.harvard.edu/abs/2008A%26A...480L..33T,,
HD 167042 b,Johnson 2008,http://adsabs.harvard.edu/abs/2008ApJ...675..784J,,
HR 8799 b,Marois 2008,http://adsabs.harvard.edu/abs/2008Sci...322.1348M,,
HAT-P-6 b,Noyes 2008,http://adsabs.harvard.edu/abs/2008ApJ...673L..79N,,
XO-3 b,Johns-Krull 2008,http://adsabs.harvard.edu/abs/2008ApJ...677..657J,,
HR 8799 d,Marois 2008,http://adsabs.harvard.edu/abs/2008Sci...322.1348M,,
CoRoT-2 b,Alonso 2008,http://adsabs.harvard.edu/abs/2008A%26A...482L..21A,,
HD 60532 b,Desort 2008,http://adsabs.harvard.edu/abs/2008A%26A...491..883D,,
OGLE-2006-BLG-109L b,Gaudi 2008,http://adsabs.harvard.edu/abs/2008Sci...319..927G,,
HD 156846 b,Tamuz 2008,http://adsabs.harvard.edu/abs/2008A%26A...480L..33T,,
HD 47186 c,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B,,
HD 32518 b,Dollinger 2009,http://adsabs.harvard.edu/abs/2009A%26A...505.1311D,,
HD 48265 b,Minniti 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1424M,,
HD 183263 c,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,,
HAT-P-8 b,Latham 2009,http://adsabs.harvard.edu/abs/2009ApJ...704.1107L,,
HD 73534 b,Valenti 2009,http://adsabs.harvard.edu/abs/2009ApJ...702..989V,,
WASP-18 b,Hellier 2009,http://adsabs.harvard.edu/abs/2009Natur.460.1098H,,
WASP-15 b,West 2009,http://adsabs.harvard.edu/abs/2009AJ....137.4834W,,
HIP 2247 b,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,,
WASP-12 b,Hebb 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1920H,,
HAT-P-12 b,Hartman 2009,http://adsabs.harvard.edu/abs/2009ApJ...706..785H,,
HD 139357 b,Dollinger 2009,http://adsabs.harvard.edu/abs/2009A%26A...499..935D,,
WASP-13 b,Skillen 2009,http://adsabs.harvard.edu/abs/2009A%26A...502..391S,,
HD 73267 b,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,,
